1995,109114
1996,118664
1997,136515
1998,152985
1999,180636
2000,215839
2001,232990
2002,263665
2003,278396
2004,304665
2005,322872
2006,356189
2007,404057
2008,420741
2009,427762
2010,480303
2011,496260
2012,519437
2013,616202
2014,724139
2015,792115
2016,843611
2017,982084
2018,1016646
2019,1042300
2020,1009328
2021,955683
