1995,52898
1996,55337
1997,58578
1998,61693
1999,67552
2000,72405
2001,81242
2002,99377
2003,121807
2004,138732
2005,146524
2006,150483
2007,154355
2008,147351
2009,149953
2010,152931
2011,150826
2012,151980
2013,171740
2014,178214
2015,187038
2016,196168
2017,226056
2018,269997
2019,230676
2020,279284
2021,271459
