2002.4082191780822,249950
2006.964383561644,289000
2000.131506849315,153000
2019.5068493150684,204000
1995.3397260273973,44000
2008.7123287671234,645000
2006.8575342465754,320000
1996.6219178082192,183000
1995.641095890411,65000
2015.6657534246576,500000
2016.6986301369864,300000
1999.9369863013699,98000
2007.3671232876711,350000
2019.7452054794521,1100000
2001.3917808219178,215000
2003.5123287671233,264000
1996.854794520548,165000
2007.0821917808219,291000
2019.5643835616438,196348
2003.3835616438357,350000
2017.9150684931508,203727
2017.9150684931508,203727
2017.9150684931508,203727
2017.876712328767,380000
2012.2246575342465,240000
2020.1698630136987,625000
2019.9369863013699,202500
2018.4849315068493,246660
2018.4849315068493,246660
2001.958904109589,143000
2006.5671232876712,230900
2017.5698630136985,475000
1998.9753424657533,192500
2000.4712328767123,370000
2021.2356164383561,830000
2003.0602739726028,300000
1995.186301369863,163000
2015.186301369863,505000
2004.7013698630137,230000
2018.2219178082191,440000
2005.4301369863015,170000
2018.6328767123289,475000
2016.7945205479452,665000
2019.6794520547944,189666
2020.5753424657535,295000
2000.854794520548,210000
2007.295890410959,695000
2017.6246575342466,590000
1999.0739726027398,300000
2003.8301369863013,205000
1995.9342465753425,130000
2002.7123287671234,249595
2019.6794520547944,643000
2006.8328767123287,480000
2019.3835616438357,442500
2002.9671232876713,249000
1998.2493150684932,242000
2002.7369863013698,410000
2014.8027397260273,650000
2002.3287671232877,170950
2016.8821917808218,650000
1997.427397260274,117000
1997.5232876712328,125000
2003.6575342465753,220125
2009.1698630136987,770000
2005.2767123287672,210000
2005.4164383561645,250000
1997.868493150685,217500
2016.0684931506848,675000
2011.8219178082193,552500
2020.8575342465754,1075000
2018.33698630137,950000
1998.2520547945205,250000
2000.4,190000
2011.6465753424657,423500
2001.2191780821918,197500
1995.5479452054794,190000
2014.2109589041097,950000
2019.868493150685,425000
1999.0493150684931,125000
2007.3260273972603,365000
1999.9671232876713,185000
2017.2438356164384,1170000
2009.4054794520548,480000
2009.2246575342465,405000
2018.8438356164384,690000
2007.5753424657535,355000
1997.3123287671233,145000
2005.8328767123287,302500
2005.2657534246575,475000
2012.7342465753425,716500
2004.5123287671233,310000
1995.3205479452056,50000
2000.454794520548,170000
2009.150684931507,300000
1996.3534246575343,151000
2001.0109589041097,270000
2001.66301369863,250000
2005.1123287671232,362500
2001.5479452054794,330000
2006.0109589041097,315000
1998.8383561643836,125000
2000.4,175000
2000.3698630136987,175000
2018.172602739726,605000
2002.841095890411,249950
2003.0630136986301,245000
2000.835616438356,245000
2007.7205479452055,714999
2005.8794520547945,331000
2015.5397260273974,675000
2000.945205479452,239950
2007.9616438356165,530000
2009.6438356164383,283500
2009.6520547945206,400000
1997.2328767123288,165000
2014.5698630136985,975000
2012.2054794520548,590625
2015.0602739726028,650000
1996.0109589041097,40500
2014.0821917808219,1110000
1998.309589041096,250000
2014.158904109589,875000
2003.772602739726,407500
1999.454794520548,295000
2007.6328767123289,325000
1999.2986301369863,135000
2000.5150684931507,365000
2009.8849315068494,705000
1997.4767123287672,205000
2015.2657534246575,1007000
2006.8575342465754,485000
2002.3671232876711,300000
2004.2986301369863,307500
2000.813698630137,345000
1997.3698630136987,122000
1995.1068493150685,126000
2011.33698630137,605000
2002.8438356164384,315000
1995.0712328767124,155000
2007.4657534246576,440000
1996.9424657534246,180000
2018.7205479452055,1300000
1999.2383561643835,205000
1999.1890410958904,260000
2006.158904109589,585000
1999.9205479452055,265000
2002.676712328767,355000
1999.627397260274,240000
2002.3534246575343,120000
2018.3945205479451,750000
2013.9671232876713,935000
2000.3342465753424,340000
1996.4109589041095,162500
1997.3506849315067,175000
2019.868493150685,895000
1999.6465753424657,295000
2002.3534246575343,400000
2000.1890410958904,375000
1997.8657534246574,147000
2014.6082191780822,595000
1996.890410958904,107000
2004.5972602739726,249000
2003.8219178082193,295000
1999.9534246575342,179950
2005.5534246575342,485000
2009.5369863013698,347500
1999.9534246575342,199500
1995.3972602739725,105000
2006.3780821917808,525000
2000.3424657534247,372000
2017.3150684931506,254000
2014.3698630136987,560000
2007.5287671232877,370000
2005.1123287671232,205000
2016.5863013698631,535000
2010.4794520547946,275000
2016.6109589041096,430000
2011.7232876712328,577500
2010.7095890410958,650000
2018.813698630137,435000
2018.7972602739726,490000
1997.1561643835616,190000
2007.5561643835617,640000
2015.8082191780823,773500
1999.441095890411,153000
2011.8027397260273,495000
2004.690410958904,270000
2001.490410958904,242000
2005.8931506849315,246150
2000.5863013698631,193000
1997.441095890411,159000
2019.158904109589,670000
2013.8876712328768,370000
2013.4054794520548,400000
1998.558904109589,215000
1997.7616438356165,119000
2004.3643835616438,180000
2005.9506849315069,379000
2016.345205479452,560000
2003.9616438356165,439820
2007.7479452054795,700000
2019.690410958904,1185000
2010.9123287671232,800000
1998.041095890411,109000
2019.813698630137,695000
2002.890410958904,249950
2012.9123287671232,465000
2007.1068493150685,699950
2013.7123287671234,900000
2006.2630136986302,382000
2002.1205479452055,305000
1998.2082191780821,121500
2014.668493150685,604000
2011.8027397260273,300000
2002.7561643835616,249999
2006.2438356164384,340000
2020.013698630137,540000
2001.0684931506848,325000
2012.1561643835616,470000
2006.490410958904,350000
2001.654794520548,225000
2014.3698630136987,679675
2003.158904109589,320000
2006.427397260274,175000
1999.5561643835617,270000
2002.1616438356164,185000
2011.6493150684933,682200
2007.2383561643835,686000
2007.682191780822,575000
2014.772602739726,987500
2021.1534246575343,1126000
2006.7917808219179,590000
2009.7972602739726,285000
2016.0876712328768,960000
2006.213698630137,308000
1999.717808219178,270000
